id,name,status,species,type,gender
1,Rick Sanchez,Alive,Human,,Male
2,Morty Smith,Alive,Human,,Male
3,Summer Smith,Alive,Human,,Female
4,Beth Smith,Alive,Human,,Female
5,Jerry Smith,Alive,Human,,Male
6,Abadango Cluster Princess,Alive,Alien,,Female
7,Abradolf Lincler,unknown,Human,Genetic experiment,Male
8,Adjudicator Rick,Dead,Human,,Male
9,Agency Director,Dead,Human,,Male
10,Alan Rails,Dead,Human,Superhuman (Ghost trains summoner),Male
11,Albert Einstein,Dead,Human,,Male
12,Alexander,Dead,Human,,Male
13,Alien Googah,unknown,Alien,,unknown
14,Alien Morty,unknown,Alien,,Male
15,Alien Rick,unknown,Alien,,Male
16,Amish Cyborg,Dead,Alien,"Parasite, Cyborg",Male
17,Annie,Alive,Human,,Female
18,Antenna Morty,Alive,Human,Human with antennae,Male
19,Antenna Rick,unknown,Human,Human with antennae,Male
20,Ants in my Eyes Johnson,unknown,Human,Human with ants in his eyes,Male
21,Aqua Morty,unknown,Humanoid,Fish-Person,Male
22,Aqua Rick,unknown,Humanoid,Fish-Person,Male
23,Arcade Alien,unknown,Alien,,Male
24,Armagheadon,Alive,Alien,Cromulon,Male
25,Armothy,Dead,unknown,Self-aware arm,Male
26,Arthricia,Alive,Alien,Cat-Person,Female
27,Artist Morty,Alive,Human,,Male
28,Attila Starwar,Alive,Human,,Male
29,Baby Legs,Alive,Human,Human with baby legs,Male
30,Baby Poopybutthole,Alive,Poopybutthole,,Male
31,Baby Wizard,Dead,Alien,Parasite,Male
32,Bearded Lady,Dead,Alien,Parasite,Female
33,Beebo,Dead,Alien,,Male
34,Benjamin,Alive,Poopybutthole,,Male
35,Bepisian,Alive,Alien,Bepisian,unknown
36,Beta-Seven,Alive,Alien,Hivemind,unknown
37,Beth Sanchez,Alive,Human,,Female
38,Beth Smith,Alive,Human,,Female
39,Beth Smith,Alive,Human,,Female
40,Beth's Mytholog,Dead,Mytholog,,Female
41,Big Boobed Waitress,Alive,Humanoid,,Female
42,Big Head Morty,unknown,Human,Human with giant head,Male
43,Big Morty,Dead,Human,,Male
44,Body Guard Morty,Dead,Human,,Male
45,Bill,Alive,Human,,Male
46,Bill,unknown,Animal,Dog,Male
47,Birdperson,Dead,Alien,Bird-Person,Male
48,Black Rick,Alive,Human,,Male
49,Blamph,Alive,Alien,,unknown
50,Blim Blam,Alive,Alien,Korblock,Male
51,Blue Diplomat,Alive,Alien,,Male
52,Blue Footprint Guy,Dead,Human,,Male
53,Blue Shirt Morty,unknown,Human,,Male
54,Bobby Moynihan,Alive,Human,,Male
55,Boobloosian,Dead,Alien,Boobloosian,unknown
56,Bootleg Portal Chemist Rick,Dead,Human,,Male
57,Borpocian,Alive,Alien,Elephant-Person,Male
58,Brad,Alive,Human,,Male
59,Brad Anderson,Dead,Human,,Male
60,Calypso,Dead,Human,Superhuman,Female
61,Campaign Manager Morty,Dead,Human,,Male
62,Canklanker Thom,Dead,Alien,Gromflomite,Male
63,Centaur,Alive,Humanoid,Centaur,Male
64,Chris,Dead,Alien,Organic gun,unknown
